1 2 4 5 
-6.081689 145.391881 232.0 5282.0 10.0 
-5.207083 145.7887 232.0 20.0 10.0 
-5.826789 144.295861 232.0 5388.0 10.0 
-6.569828 146.726242 232.0 239.0 10.0 
-9.443383 147.22005 232.0 146.0 10.0 
-3.583828 143.669186 232.0 19.0 10.0 
61.160517 -45.425978 119.0 112.0 -3.0 
64.190922 -51.678064 119.0 283.0 -3.0 
67.016969 -50.689325 119.0 165.0 -3.0 
76.531203 -68.703161 119.0 251.0 -4.0 
65.659994 -18.072703 25.0 6.0 0.0 
65.283333 -14.401389 25.0 76.0 0.0 
64.295556 -15.227222 25.0 24.0 0.0 
65.952328 -17.425978 25.0 48.0 0.0 
66.058056 -23.135278 242.0 8.0 0.0 
63.985 -22.605556 25.0 171.0 0.0 
65.555833 -23.965 242.0 11.0 0.0 
64.13 -21.940556 25.0 48.0 0.0 
66.133333 -18.916667 25.0 10.0 0.0 
63.424303 -20.278875 25.0 326.0 0.0 
46.485001 -84.509445 113.0 630.0 -5.0 
50.056389 -97.0325 113.0 760.0 -6.0 
44.639721 -63.499444 113.0 167.0 -4.0 
51.391944 -56.083056 113.0 108.0 -3.5 
49.082222 -125.7725 113.0 80.0 -8.0 
68.534444 -89.808056 113.0 56.0 -7.0 
49.1325 -68.204444 113.0 71.0 -5.0 
48.330555 -70.996391 113.0 522.0 -5.0 
64.298889 -96.077778 113.0 59.0 -6.0 
49.950832 -125.270833 113.0 346.0 -8.0 
49.91 -99.951944 113.0 1343.0 -6.0 
69.108055 -105.138333 113.0 90.0 -7.0 
49.052333 -123.870167 113.0 93.0 -8.0 
49.296389 -117.6325 113.0 1624.0 -8.0 
47.007778 -65.449167 113.0 108.0 -4.0 
47.990833 -66.330278 113.0 132.0 -4.0 
67.816667 -115.143889 113.0 74.0 -7.0 
52.075001 -111.445278 113.0 2595.0 -7.0 
49.152779 -121.93889 113.0 32.0 -8.0 
70.486111 -68.516667 113.0 87.0 -5.0 
64.193333 -83.359444 113.0 2661.0 -5.0 
64.043056 -139.127778 113.0 1215.0 -8.0 
61.371111 -139.040556 113.0 2647.0 -8.0 
49.468056 -120.511389 113.0 2298.0 -8.0 
49.210833 -57.391388 113.0 72.0 -3.5 
58.422222 -130.032222 113.0 2600.0 -8.0 
51.100834 -100.0525 113.0 999.0 -6.0 
55.742333 -120.183 113.0 2148.0 -7.0 
53.309723 -113.579722 113.0 2373.0 -7.0 
61.094166 -94.070833 113.0 32.0 -6.0 
49.210278 -102.965833 113.0 1905.0 -6.0 
53.578888 -116.465 113.0 3041.0 -7.0 
79.994722 -85.814167 113.0 256.0 -6.0 
68.304167 -133.482778 113.0 224.0 -7.0 
63.75639 -68.555832 113.0 110.0 -5.0 
45.868889 -66.537222 113.0 68.0 -4.0 
48.746111 -69.097222 113.0 293.0 -5.0 
54.678055 -101.681667 113.0 997.0 -6.0 
61.180832 -113.689722 113.0 526.0 -7.0 
61.760153 -121.236525 113.0 555.0 -7.0 
44.225277 -76.596944 113.0 305.0 -5.0 
53.625278 -77.704167 113.0 639.0 -5.0 
48.775278 -64.478611 113.0 108.0 -5.0 
49.778332 -86.939445 113.0 1144.0 -5.0 
47.424721 -61.778056 113.0 35.0 -5.0 
52.816666 -102.31139 113.0 1175.0 -6.0 
49.831667 -92.744167 113.0 1354.0 -6.0 
70.762778 -117.806111 113.0 117.0 -7.0 
68.635556 -95.849722 113.0 152.0 -7.0 
43.173611 -79.935 113.0 780.0 -5.0 
45.5175 -73.416944 113.0 90.0 -5.0 
60.839722 -115.782778 113.0 543.0 -7.0 
44.880833 -63.50861 113.0 477.0 -4.0 
48.773888 -91.638611 113.0 1408.0 -5.0 
72.683334 -77.966667 113.0 181.0 -5.0 
45.294445 -73.281111 113.0 136.0 -5.0 
48.544167 -58.549999 113.0 80.0 -3.5 
50.702222 -120.444444 113.0 1133.0 -8.0 
43.460833 -80.378611 113.0 1054.0 -5.0 
54.805278 -66.805278 113.0 1709.0 -5.0 
51.5175 -109.180833 113.0 2277.0 -6.0 
43.862221 -79.37 113.0 650.0 -5.0 
47.82 -83.346667 113.0 1470.0 -5.0 
54.125278 -108.522778 113.0 1576.0 -6.0 
53.309166 -110.0725 113.0 2193.0 -7.0 
82.517778 -62.280556 242.0 100.0 -5.0 
49.956112 -119.377778 113.0 1409.0 -8.0 
63.616389 -135.868333 113.0 1653.0 -8.0 
50.330278 -105.559167 113.0 1892.0 -6.0 
56.653333 -111.221944 113.0 1211.0 -7.0 
51.291111 -80.607778 113.0 30.0 -5.0 
46.272778 -75.990556 113.0 656.0 -5.0 
45.681944 -74.005278 113.0 270.0 -5.0 
50.19 -61.789167 113.0 39.0 -5.0 
45.521694 -75.563589 113.0 211.0 -5.0 
49.761667 -77.802778 113.0 918.0 -5.0 
67.570556 -139.839167 113.0 824.0 -8.0 
54.404999 -110.279444 113.0 1775.0 -7.0 
58.621389 -117.164722 113.0 1110.0 -7.0 
45.3225 -75.669167 113.0 374.0 -5.0 
53.214167 -105.672778 113.0 1405.0 -6.0 
56.226944 -117.447222 113.0 1873.0 -7.0 
49.903056 -98.273889 113.0 885.0 -6.0 
49.21611 -122.71 113.0 11.0 -8.0 
51.446388 -90.214167 113.0 1267.0 -5.0 
49.836389 -64.288611 113.0 167.0 -5.0 
44.23 -78.363333 113.0 628.0 -5.0 
54.28611 -130.444722 113.0 116.0 -8.0 
58.767223 -111.117222 113.0 761.0 -7.0 
44.974722 -79.303333 113.0 925.0 -5.0 
46.791111 -71.393333 113.0 244.0 -5.0 
52.182222 -113.894444 113.0 2968.0 -7.0 
42.275556 -82.955556 113.0 622.0 -5.0 
60.116389 -128.8225 113.0 2255.0 -8.0 
49.788334 -94.363056 113.0 1332.0 -6.0 
49.630278 -112.799722 113.0 3047.0 -7.0 
46.112221 -64.678611 113.0 232.0 -4.0 
49.710833 -124.886667 113.0 84.0 -8.0 
50.431944 -104.665833 113.0 1894.0 -6.0 
48.371944 -89.323889 113.0 653.0 -5.0 
55.179722 -118.885 113.0 2195.0 -7.0 
51.264721 -102.461667 113.0 1635.0 -6.0 
52.769167 -108.24361 113.0 1799.0 -6.0 
48.936944 -54.568056 113.0 496.0 -3.5 
46.161388 -60.047779 113.0 203.0 -4.0 
53.026112 -122.510278 113.0 1789.0 -8.0 
74.716944 -94.969444 113.0 215.0 -6.0 
47.764444 -69.584722 113.0 427.0 -5.0 
48.52 -72.265556 113.0 586.0 -5.0 
52.429722 -114.904167 113.0 3244.0 -7.0 
62.81139 -92.115833 113.0 94.0 -6.0 
46.625 -80.798889 113.0 1141.0 -5.0 
45.438611 -71.691389 113.0 792.0 -5.0 
45.316111 -65.890278 113.0 357.0 -4.0 
60.020278 -111.961944 113.0 671.0 -7.0 
72.982222 -84.613611 113.0 2106.0 -5.0 
46.440556 -63.833611 113.0 56.0 -4.0 
71.993889 -125.2425 113.0 282.0 -7.0 
64.23 -76.526667 113.0 164.0 -5.0 
55.801111 -97.864166 113.0 729.0 -6.0 
44.118889 -77.528056 113.0 283.0 -5.0 
48.569721 -81.376667 113.0 967.0 -5.0 
43.627499 -79.396167 113.0 251.0 -5.0 
69.433334 -133.026389 113.0 15.0 -7.0 
45.470556 -73.740833 113.0 118.0 -5.0 
66.521389 -86.224722 113.0 80.0 -6.0 
68.776111 -81.243611 113.0 27.0 -5.0 
48.206111 -78.835556 113.0 988.0 -5.0 
55.15139 -105.261944 113.0 1242.0 -6.0 
53.355833 -110.82389 113.0 2025.0 -7.0 
67.545833 -64.031389 242.0 21.0 -5.0 
48.053333 -77.782778 113.0 1107.0 -5.0 
58.096111 -68.426944 113.0 129.0 -5.0 
65.281617 -126.798219 113.0 238.0 -7.0 
49.193889 -123.184444 113.0 14.0 -8.0 
55.841944 -108.4175 113.0 1444.0 -6.0 
44.745834 -81.107222 113.0 729.0 -5.0 
45.952221 -77.319168 113.0 427.0 -5.0 
49.910036 -97.239886 113.0 783.0 -6.0 
52.921944 -66.864444 113.0 1808.0 -4.0 
52.183056 -122.054167 113.0 3085.0 -8.0 
63.209444 -123.436667 113.0 489.0 -7.0 
49.612222 -115.781944 113.0 3084.0 -7.0 
53.5725 -113.520556 113.0 2200.0 -7.0 
52.170834 -106.699722 113.0 1653.0 -6.0 
