Numerical_1,Numerical_2,Altitude,Timezone,Country,DST,clusterid 
-6.081689,145.391881,5282.0,10.0,PG,U,0 
-5.207083,145.7887,20.0,10.0,PG,U,0 
-5.826789,144.295861,5388.0,10.0,PG,U,0 
-6.569828,146.726242,239.0,10.0,PG,U,0 
-9.443383,147.22005,146.0,10.0,PG,U,0 
-3.583828,143.669186,19.0,10.0,PG,U,0 
-17.755392,177.443378,59.0,12.0,FJ,U,0 
-18.043267,178.559228,17.0,12.0,FJ,U,0 
1.381636,173.147036,9.0,12.0,KI,U,0 
-1.224469,174.775614,7.0,12.0,KI,U,0 
-32.7033,151.488,75.0,10.0,AU,O,0 
-17.699325,168.319794,70.0,11.0,VU,U,0 
-21.053428,164.837806,23.0,11.0,NC,U,0 
-20.546314,164.255625,42.0,11.0,NC,U,0 
-20.7748,167.239864,92.0,11.0,NC,U,0 
-22.258278,166.472806,10.0,11.0,NC,U,0 
-21.481678,168.037508,141.0,11.0,NC,U,0 
-20.640556,166.572778,23.0,11.0,NC,U,0 
-22.014553,166.212972,52.0,11.0,NC,U,0 
-38.739723,176.084444,1335.0,12.0,NZ,Z,0 
-43.906666,170.128333,1824.0,12.0,NZ,Z,0 
-35.262779,173.911944,492.0,12.0,NZ,Z,0 
-43.764999,170.133333,2153.0,12.0,NZ,Z,0 
-45.021111,168.739167,1171.0,12.0,NZ,Z,0 
-38.109167,176.317222,935.0,12.0,NZ,Z,0 
-39.446389,175.658333,2686.0,12.0,NZ,Z,0 
-44.235,170.118333,1575.0,12.0,NZ,Z,0 
-44.722222,169.245556,1142.0,12.0,NZ,Z,0 
-32.5625,149.611,1545.0,10.0,AU,O,0 
-20.276,148.755,60.0,10.0,AU,O,0 
14.174308,145.242536,607.0,10.0,MP,U,0 
15.119003,145.729356,215.0,10.0,MP,U,0 
13.583953,144.930025,627.0,10.0,GU,U,0 
13.48345,144.795983,298.0,10.0,GU,U,0 
14.999203,145.61935,271.0,10.0,MP,U,0 
-32.0372,150.832,745.0,10.0,AU,O,0 
7.064758,171.272022,6.0,12.0,MH,U,0 
9.396886,167.470869,9.0,12.0,MH,U,0 
8.720122,167.731661,9.0,12.0,MH,U,0 
6.9851,158.208989,10.0,11.0,FM,U,0 
7.367303,134.544278,176.0,9.0,PW,U,0 
9.498911,138.082497,91.0,10.0,FM,U,0 
-32.7875,151.342,211.0,10.0,AU,O,0 
-17.5453,128.307,0.0,8.0,AU,U,0 
-24.95841,153.3145,6.0,10.0,AU,O,0 
-27.570278,153.008056,63.0,10.0,AU,O,0 
-10.950833,142.459444,34.0,10.0,AU,O,0 
-23.806667,133.902222,1789.0,9.5,AU,N,0 
-27.384167,153.1175,13.0,10.0,AU,N,0 
-28.164444,153.504722,21.0,10.0,AU,N,0 
-16.885833,145.755278,10.0,10.0,AU,N,0 
-26.413334,146.2625,1003.0,10.0,AU,O,0 
-20.663889,139.488611,1121.0,10.0,AU,O,0 
-26.603333,153.091111,15.0,10.0,AU,O,0 
-21.171667,149.179722,19.0,10.0,AU,O,0 
-20.495,148.552222,82.0,10.0,AU,O,0 
-23.381944,150.475278,34.0,10.0,AU,O,0 
-19.2525,146.765278,18.0,10.0,AU,N,0 
-12.678611,141.925278,63.0,10.0,AU,O,0 
-36.067778,146.958056,539.0,10.0,AU,O,0 
-37.728056,144.901944,282.0,10.0,AU,O,0 
-41.545278,147.214167,562.0,10.0,AU,O,0 
-37.673333,144.843333,434.0,10.0,AU,O,0 
-34.7025,138.620833,67.0,9.5,AU,O,0 
-20.712222,116.773333,29.0,8.0,AU,O,0 
-30.789444,121.461667,1203.0,8.0,AU,O,0 
-15.778056,128.7075,145.0,8.0,AU,O,0 
-22.235556,114.088611,19.0,8.0,AU,O,0 
-20.377778,118.626389,33.0,8.0,AU,O,0 
-34.793333,138.633056,57.0,9.5,AU,O,0 
-31.144167,136.816944,548.0,9.5,AU,O,0 
-33.924444,150.988333,29.0,10.0,AU,O,0 
-35.306944,149.195,1886.0,10.0,AU,O,0 
-30.320556,153.116389,18.0,10.0,AU,O,0 
-34.040278,150.687222,230.0,10.0,AU,O,0 
-32.216667,148.574722,935.0,10.0,AU,O,0 
-29.041625,167.938742,371.0,11.5,NF,U,0 
-33.600556,150.780833,67.0,10.0,AU,O,0 
-33.946111,151.177222,21.0,10.0,AU,O,0 
-31.083889,150.846667,1334.0,10.0,AU,O,0 
-35.165278,147.466389,724.0,10.0,AU,O,0 
-23.5675,148.179167,624.0,10.0,AU,O,0 
-12.4083333,130.87266,103.0,9.5,AU,N,0 
-25.186111,130.975556,1626.0,9.5,AU,N,0 
-25.318889,152.880278,60.0,10.0,AU,O,0 
-30.528056,151.617222,3556.0,10.0,AU,O,0 
-9.428,160.054789,28.0,11.0,SB,U,0 
-0.547458,166.9191,22.0,12.0,NR,U,0 
-8.525,179.196389,9.0,12.0,TV,U,0 
-17.68333,178.83333,11.0,12.0,FJ,N,0 
-24.427778,145.428611,928.0,10.0,AU,O,0 
-24.903889,152.318611,107.0,10.0,AU,O,0 
-19.455198,169.22394,3.0,11.0,VU,U,0 
-24.493889,150.576111,644.0,10.0,AU,O,0 
-28.833889,153.5625,7.0,10.0,AU,O,0 
-17.8,122.2,56.0,8.0,AU,O,0 
-32.78,151.83,31.0,10.0,AU,O,0 
-8.75,158.2,0.0,11.0,SB,U,0 
-34.8103,149.726,2141.0,10.0,AU,O,0 
-8.78822,142.882,173.0,10.0,PG,U,0 
-7.49686,144.82,27.0,10.0,PG,U,0 
-3.667,142.483,750.0,10.0,PG,U,0 
-9.07595,149.32,85.0,10.0,PG,U,0 
-8.033,141.717,24.0,10.0,PG,U,0 
-8.05,142.933,51.0,10.0,PG,U,0 
-7.583,141.317,29.0,10.0,PG,U,0 
-8.50582,151.081,27.0,10.0,PG,U,0 
-3.04361,152.629,167.0,10.0,PG,U,0 
-7.00992,141.494,52.0,10.0,PG,U,0 
-7.42035,143.122,0.0,10.0,PG,U,0 
-8.88468,147.731,1240.0,10.0,PG,U,0 
-6.183,149.533,280.0,10.0,PG,U,0 
-5.6525,151.507,136.0,10.0,PG,U,0 
-7.89756,145.396,47.0,10.0,PG,U,0 
-6.27111,150.331,23.0,10.0,PG,U,0 
-3.18985,142.43,48.0,10.0,PG,U,0 
-22.5889,167.456,315.0,11.0,NC,U,0 
-19.7206,163.661,306.0,11.0,NC,U,0 
-18.8783,169.308,23.0,11.0,VU,U,0 
-19.5164,170.232,0.0,11.0,VU,U,0 
-18.7694,169.001,538.0,11.0,VU,U,0 
-19.24,169.605,69.0,11.0,VU,U,0 
-14.8817,166.558,0.0,11.0,VU,U,0 
-16.495,167.438,0.0,11.0,VU,U,0 
-16.7961,168.177,10.0,11.0,VU,U,0 
-16.333,168.283,0.0,11.0,VU,U,0 
-16.8911,168.551,443.0,11.0,VU,U,0 
-15.505033,167.219742,184.0,11.0,VU,U,0 
-15.472,167.835,36.0,11.0,VU,U,0 
-14.2181,167.587,0.0,11.0,VU,U,0 
-16.0797,167.401,23.0,11.0,VU,U,0 
-15.8656,168.172,43.0,11.0,VU,U,0 
-16.5842,168.159,7.0,11.0,VU,U,0 
-16.454,167.823,7.0,11.0,VU,U,0 
-15.3067,167.967,167.0,11.0,VU,U,0 
-16.265,167.924,69.0,11.0,VU,U,0 
-17.0903,168.343,7.0,11.0,VU,U,0 
-13.328,166.638,0.0,11.0,VU,U,0 
-13.8517,167.537,7.0,11.0,VU,U,0 
-16.8028,179.341,17.0,12.0,FJ,U,0 
-12.4825,177.071,22.0,12.0,FJ,U,0 
-17.3458,179.422,358.0,12.0,FJ,U,0 
-16.466749,179.33986,44.0,12.0,FJ,U,0 
-18.1156,179.34,50.0,12.0,FJ,U,0 
-18.5667,179.951,13.0,12.0,FJ,U,0 
-19.0581,178.157,6.0,12.0,FJ,U,0 
6.08333,171.733,4.0,12.0,MH,U,0 
10.2833,170.883,5.0,12.0,MH,U,0 
8.70444,171.23,0.0,12.0,MH,U,0 
9.82316,169.308,0.0,12.0,MH,U,0 
8.90056,170.844,0.0,12.0,MH,U,0 
7.56535,168.962,0.0,12.0,MH,U,0 
7.45235,168.552,0.0,12.0,MH,U,0 
11.5225,165.565,0.0,12.0,MH,U,0 
5.64452,169.12,5.0,12.0,MH,U,0 
-5.6433,143.895,5889.0,10.0,PG,U,0 
-2.69717,141.302,10.0,10.0,PG,U,0 
-4.34046,152.38,32.0,10.0,PG,U,0 
-5.27861,141.226,1570.0,10.0,PG,U,0 
-5.845,142.948,5500.0,10.0,PG,U,0 
-10.6892,152.838,26.0,10.0,PG,U,0 
-6.36333,143.238,2740.0,10.0,PG,U,0 
-2.06189,147.424,12.0,10.0,PG,U,0 
-6.14774,143.657,5680.0,10.0,PG,U,0 
-2.5794,150.808,7.0,10.0,PG,U,0 
-7.96361,145.771,10.0,10.0,PG,U,0 
-7.42438,144.25,50.0,10.0,PG,U,0 
-6.12571,141.282,88.0,10.0,PG,U,0 
-5.46217,150.405,66.0,10.0,PG,U,0 
-8.80454,148.309,311.0,10.0,PG,U,0 
-10.3115,150.334,88.0,10.0,PG,U,0 
-9.08676,143.208,20.0,10.0,PG,U,0 
-6.02429,144.971,4974.0,10.0,PG,U,0 
-5.42232,154.673,11.0,10.0,PG,U,0 
-8.16806,157.643,0.0,11.0,SB,U,0 
-7.58556,158.731,0.0,11.0,SB,U,0 
-9.86167,160.825,0.0,11.0,SB,U,0 
-11.5339,160.063,0.0,11.0,SB,U,0 
-7.41694,155.565,0.0,11.0,SB,U,0 
-8.32797,157.263,10.0,11.0,SB,U,0 
-10.7203,165.795,18.0,11.0,SB,U,0 
-10.4497,161.898,0.0,11.0,SB,U,0 
-9.7475,159.839,0.0,11.0,SB,U,0 
-8.70257,160.682,5.0,11.0,SB,U,0 
-8.87333,161.011,0.0,11.0,SB,U,0 
8.92806,165.762,0.0,12.0,MH,U,0 
-16.6369,128.451,522.0,8.0,AU,O,0 
-13.3539,141.721,31.0,10.0,AU,O,0 
-23.5653,145.307,878.0,10.0,AU,O,0 
-25.8975,139.348,159.0,10.0,AU,O,0 
-32.0014,141.472,958.0,9.5,AU,O,0 
-20.3581,148.952,15.0,10.0,AU,O,0 
-24.3461,139.46,300.0,10.0,AU,O,0 
-30.0392,145.952,352.0,10.0,AU,O,0 
-17.7486,139.534,21.0,10.0,AU,O,0 
