@relation Airport-weka.filters.unsupervised.attribute.Remove-R4

@attribute Numerical_1 numeric
@attribute Numerical_2 numeric
@attribute Country{EU,AL,AT,AX,BA,BE,BG,BY,CH,CZ,DE,DK,EE,ES,FI,FO,FR,GB,GG,GI,GR,HR,HU,IE,IM,IS,IT,JE,LI,LT,LU,LV,MC,MD,ME,MK,MT,NL,NO,PL,PT,RO,RS,RU,SE,SI,SJ,SK,TR,UA,XK,AS,AE,AF,AM,AZ,BD,BH,BN,BT,CC,CN,CX,CY,GE,HK,ID,IL,IN,IO,IQ,IR,JO,JP,KG,KH,KP,KR,KW,KZ,LA,LB,LK,MM,MN,MO,MY,NP,OM,PH,PK,PS,QA,SA,SG,SY,TH,TJ,TL,TM,TW,UZ,VN,YE,NAC,AG,AI,AW,BB,BL,BS,BQ,BZ,CA,CR,CU,DM,DO,GD,GL,GP,GT,HN,HT,JM,KN,KY,LC,MF,MQ,MS,MX,NI,PA,PR,SV,TC,TT,US,VC,VG,VI,AO,BF,BI,BJ,BW,CD,CF,CG,CI,CM,CV,DJ,DZ,EG,EH,ER,ET,GA,GH,GM,GN,GQ,GW,KE,KM,LR,LS,LY,MA,MG,ML,MR,MU,MW,MZ,NA,NE,NG,RE,RW,SC,SD,SH,SL,SN,SO,SS,ST,SZ,TD,TG,TN,TZ,UG,ZA,ZM,ZW,AN,AQ,GS,SAC,AR,BO,BR,CL,CO,EC,FK,GF,GY,PE,PY,SR,UY,VE,OC,AU,CK,FJ,FM,GU,KI,MH,MP,NC,NF,NR,NU,NZ,PF,PG,PW,SB,TO,TV,UM,VU,WF,WS,UKNC,UKN}
@attribute Altitude numeric
@attribute Timezone numeric
@attribute DST {U,E,N,A,S,O,Z}

@data
-6.081689,145.391881,PG,5282,10,U
-5.207083,145.7887,PG,20,10,U
-5.826789,144.295861,PG,5388,10,U
-6.569828,146.726242,PG,239,10,U
-9.443383,147.22005,PG,146,10,U
-3.583828,143.669186,PG,19,10,U
61.160517,-45.425978,GL,112,-3,E
64.190922,-51.678064,GL,283,-3,E
67.016969,-50.689325,GL,165,-3,E
76.531203,-68.703161,GL,251,-4,E
65.659994,-18.072703,IS,6,0,N
65.283333,-14.401389,IS,76,0,N
64.295556,-15.227222,IS,24,0,N
65.952328,-17.425978,IS,48,0,N
66.058056,-23.135278,UKN,8,0,N
63.985,-22.605556,IS,171,0,N
65.555833,-23.965,UKN,11,0,N
64.13,-21.940556,IS,48,0,N
66.133333,-18.916667,IS,10,0,N
63.424303,-20.278875,IS,326,0,N
46.485001,-84.509445,CA,630,-5,A
50.056389,-97.0325,CA,760,-6,A
44.639721,-63.499444,CA,167,-4,A
51.391944,-56.083056,CA,108,-3.5,A
49.082222,-125.7725,CA,80,-8,A
68.534444,-89.808056,CA,56,-7,A
49.1325,-68.204444,CA,71,-5,A
48.330555,-70.996391,CA,522,-5,A
64.298889,-96.077778,CA,59,-6,A
49.950832,-125.270833,CA,346,-8,A
49.91,-99.951944,CA,1343,-6,A
69.108055,-105.138333,CA,90,-7,A
49.052333,-123.870167,CA,93,-8,A
49.296389,-117.6325,CA,1624,-8,A
47.007778,-65.449167,CA,108,-4,A
47.990833,-66.330278,CA,132,-4,A
67.816667,-115.143889,CA,74,-7,A
52.075001,-111.445278,CA,2595,-7,A
49.152779,-121.93889,CA,32,-8,A
70.486111,-68.516667,CA,87,-5,A
64.193333,-83.359444,CA,2661,-5,A
64.043056,-139.127778,CA,1215,-8,A
