W_age,children,W_education,H_education,W_religion,W_working,H_occupation,Standard-of-living,Media-exposure,clusterid 
24.0,3.0,2,3,1,1,2,3,0,0 
38.0,6.0,2,3,1,1,3,2,0,0 
37.0,8.0,2,2,1,1,2,3,0,0 
24.0,1.0,2,3,1,1,3,3,0,0 
25.0,4.0,3,3,1,1,3,2,0,0 
28.0,1.0,2,2,1,1,3,2,0,0 
20.0,2.0,2,2,1,1,2,2,1,0 
20.0,1.0,2,3,1,1,2,3,0,0 
47.0,4.0,2,3,1,1,2,3,0,0 
29.0,1.0,2,3,1,1,1,2,0,0 
33.0,2.0,2,3,1,1,3,2,0,0 
41.0,1.0,2,3,1,0,2,3,0,0 
19.0,0.0,2,3,1,0,2,2,0,0 
32.0,7.0,3,3,1,0,2,3,0,0 
31.0,4.0,2,2,1,1,3,3,0,0 
26.0,2.0,2,3,1,1,3,3,0,0 
36.0,5.0,2,3,1,1,2,3,0,0 
20.0,1.0,2,3,0,1,3,2,0,0 
21.0,2.0,3,3,1,1,2,2,0,0 
19.0,2.0,3,3,1,1,3,2,0,0 
24.0,2.0,3,3,1,1,3,3,0,0 
27.0,2.0,2,3,1,1,3,3,0,0 
31.0,2.0,3,3,1,0,2,3,0,0 
22.0,1.0,2,3,1,1,3,3,0,0 
39.0,6.0,3,3,1,1,3,3,0,0 
20.0,1.0,3,3,1,1,2,3,0,0 
40.0,4.0,3,3,1,1,2,2,0,0 
25.0,1.0,3,3,1,1,3,2,0,0 
22.0,0.0,3,3,1,1,2,2,0,0 
21.0,0.0,3,3,1,1,2,2,0,0 
30.0,4.0,2,3,1,0,3,2,0,0 
25.0,3.0,2,2,1,1,3,3,0,0 
35.0,8.0,2,3,1,1,3,2,0,0 
29.0,0.0,3,2,1,1,2,2,0,0 
34.0,7.0,2,3,1,0,3,3,0,0 
23.0,6.0,3,3,1,1,3,3,0,0 
37.0,4.0,2,3,1,1,2,3,0,0 
17.0,1.0,2,3,1,1,3,2,0,0 
23.0,2.0,3,3,1,1,2,2,0,0 
18.0,1.0,2,3,1,1,2,3,0,0 
37.0,6.0,3,3,1,1,2,2,0,0 
19.0,0.0,2,2,1,1,2,2,0,0 
23.0,2.0,3,3,1,1,3,3,0,0 
33.0,3.0,2,2,1,1,2,3,0,0 
28.0,2.0,2,3,1,1,3,3,0,0 
34.0,2.0,2,3,1,1,3,3,0,0 
31.0,2.0,3,3,1,0,3,3,0,0 
28.0,3.0,3,3,1,1,1,2,0,0 
40.0,6.0,2,3,1,1,1,2,0,0 
35.0,6.0,3,3,1,1,2,3,0,0 
26.0,2.0,3,3,1,1,3,2,0,0 
45.0,8.0,3,3,1,1,2,3,0,0 
21.0,1.0,2,2,1,1,3,2,0,0 
30.0,2.0,3,3,1,1,2,3,0,0 
34.0,8.0,2,2,1,1,2,2,0,0 
21.0,1.0,3,3,1,1,3,3,0,0 
32.0,5.0,2,3,1,0,2,3,0,0 
27.0,1.0,3,3,1,0,3,3,0,0 
35.0,6.0,2,3,1,0,3,3,0,0 
24.0,2.0,3,3,1,1,3,3,0,0 
29.0,1.0,3,3,1,1,3,3,0,0 
33.0,3.0,3,3,1,1,3,3,0,0 
34.0,2.0,2,3,1,1,2,3,0,0 
36.0,7.0,2,3,1,1,3,3,0,0 
27.0,3.0,3,3,1,1,2,3,0,0 
32.0,4.0,2,3,1,1,3,2,0,0 
21.0,1.0,2,3,1,0,3,2,0,0 
33.0,7.0,2,2,1,0,2,3,0,0 
19.0,3.0,3,3,1,1,2,3,0,0 
27.0,5.0,2,2,1,1,3,3,0,0 
31.0,7.0,2,3,1,1,3,3,0,0 
26.0,3.0,3,3,1,1,3,3,0,0 
27.0,3.0,3,3,1,1,2,2,0,0 
22.0,2.0,2,2,1,1,2,3,0,0 
21.0,1.0,2,2,1,1,4,3,0,0 
25.0,4.0,2,3,1,1,3,3,0,0 
23.0,1.0,3,3,1,1,2,2,0,0 
25.0,3.0,3,3,1,1,3,2,0,0 
24.0,1.0,3,3,1,1,3,2,0,0 
25.0,3.0,3,3,1,1,3,3,0,0 
21.0,1.0,3,3,1,1,3,3,0,0 
26.0,2.0,2,3,1,1,2,3,0,0 
32.0,4.0,2,3,1,0,2,2,0,0 
29.0,6.0,3,3,1,1,3,3,0,0 
26.0,3.0,3,3,1,1,3,3,0,0 
26.0,2.0,2,3,1,1,3,3,0,0 
28.0,4.0,3,3,1,1,3,3,0,0 
23.0,1.0,3,2,1,1,3,3,0,0 
28.0,2.0,3,3,0,1,2,3,0,0 
21.0,1.0,3,3,1,1,2,2,0,0 
25.0,2.0,3,3,1,1,2,3,0,0 
24.0,5.0,2,3,1,1,3,3,0,0 
21.0,1.0,2,2,1,1,3,2,0,0 
29.0,4.0,2,3,1,1,3,2,0,0 
21.0,1.0,3,3,1,1,3,2,0,0 
23.0,2.0,2,3,1,0,3,2,0,0 
25.0,1.0,2,2,1,1,3,3,0,0 
37.0,5.0,2,3,1,1,4,2,0,0 
21.0,2.0,3,3,1,1,2,3,0,0 
20.0,1.0,2,2,1,1,3,2,0,0 
40.0,5.0,2,3,1,1,3,3,0,0 
22.0,3.0,2,2,1,0,3,3,0,0 
30.0,4.0,3,3,1,0,2,2,0,0 
29.0,3.0,2,3,1,0,3,2,0,0 
25.0,5.0,2,3,1,1,2,3,0,0 
26.0,5.0,3,2,1,1,2,2,0,0 
23.0,3.0,2,3,1,1,2,3,0,0 
25.0,4.0,2,3,1,0,3,2,0,0 
23.0,2.0,2,2,1,1,3,3,0,0 
21.0,1.0,2,2,1,1,3,2,0,0 
32.0,1.0,2,3,1,1,3,3,0,0 
49.0,4.0,2,3,1,1,2,3,0,0 
43.0,3.0,2,3,0,1,2,3,0,0 
35.0,8.0,2,3,1,1,3,3,1,0 
45.0,11.0,2,3,1,1,2,3,0,0 
28.0,5.0,3,3,1,1,3,3,0,0 
25.0,1.0,3,3,1,1,2,2,0,0 
36.0,6.0,2,3,1,1,2,3,0,0 
34.0,9.0,2,2,1,0,2,3,0,0 
25.0,2.0,2,3,1,1,3,2,0,0 
31.0,2.0,3,3,1,0,3,3,0,0 
23.0,0.0,3,2,1,1,2,2,0,0 
34.0,6.0,3,3,1,1,2,3,0,0 
38.0,4.0,2,3,1,1,1,2,0,0 
38.0,8.0,2,2,1,1,2,2,0,0 
26.0,2.0,3,3,1,1,1,3,0,0 
22.0,2.0,3,3,1,1,3,3,0,0 
31.0,4.0,2,2,1,1,4,3,1,0 
36.0,4.0,3,3,1,1,1,3,0,0 
30.0,7.0,2,3,1,1,3,3,0,0 
31.0,4.0,2,2,1,1,3,3,0,0 
29.0,3.0,2,3,1,1,3,3,0,0 
37.0,9.0,2,3,1,1,3,3,0,0 
37.0,6.0,3,3,1,1,3,3,0,0 
35.0,6.0,2,3,1,1,2,3,0,0 
30.0,3.0,2,3,1,1,3,3,0,0 
29.0,2.0,3,3,1,1,3,2,0,0 
22.0,1.0,3,3,1,1,3,2,0,0 
30.0,6.0,2,2,1,0,2,3,0,0 
33.0,4.0,3,3,1,0,2,3,0,0 
26.0,2.0,3,3,1,0,2,2,0,0 
30.0,2.0,2,2,1,1,3,2,0,0 
20.0,2.0,3,3,1,1,2,2,1,0 
18.0,1.0,3,3,1,1,2,2,0,0 
30.0,3.0,3,2,1,1,3,3,0,0 
22.0,3.0,3,3,1,1,3,3,0,0 
33.0,4.0,2,3,1,1,2,3,0,0 
35.0,5.0,2,3,1,1,3,3,0,0 
32.0,6.0,2,2,1,1,2,3,0,0 
27.0,3.0,2,2,1,1,2,2,1,0 
42.0,9.0,3,2,1,1,3,3,0,0 
36.0,8.0,3,3,1,1,3,2,0,0 
42.0,10.0,3,3,1,1,3,3,0,0 
38.0,1.0,2,2,1,0,3,2,0,0 
40.0,3.0,3,3,1,1,3,2,0,0 
36.0,2.0,2,3,1,1,3,2,1,0 
25.0,2.0,3,2,1,1,3,2,0,0 
27.0,3.0,3,2,1,1,3,2,0,0 
34.0,3.0,2,3,1,0,3,2,0,0 
37.0,5.0,2,3,1,0,3,2,0,0 
44.0,1.0,2,2,1,0,3,2,0,0 
43.0,6.0,2,3,1,0,3,3,0,0 
42.0,8.0,3,3,1,1,4,3,0,0 
49.0,0.0,2,3,1,1,1,2,0,0 
40.0,3.0,3,3,1,1,2,2,1,0 
40.0,8.0,2,2,1,1,2,2,0,0 
35.0,4.0,3,3,1,1,3,2,0,0 
36.0,6.0,3,2,1,1,3,2,0,0 
32.0,6.0,3,3,1,0,3,3,0,0 
17.0,1.0,2,2,1,1,3,2,0,0 
43.0,5.0,3,3,1,0,3,3,0,0 
43.0,8.0,3,3,1,1,1,3,0,0 
30.0,3.0,3,3,1,0,3,2,0,0 
34.0,4.0,2,2,0,1,3,2,0,0 
39.0,5.0,2,2,1,0,3,2,1,0 
41.0,5.0,2,2,0,1,2,2,0,0 
40.0,8.0,2,2,1,1,1,3,0,0 
24.0,2.0,3,3,1,0,3,2,0,0 
47.0,7.0,2,2,1,1,2,2,0,0 
45.0,6.0,2,3,1,1,3,2,1,0 
42.0,5.0,3,3,1,1,2,2,0,0 
40.0,6.0,2,2,1,1,2,2,1,0 
38.0,10.0,2,2,1,1,3,2,0,0 
45.0,9.0,2,2,1,1,3,3,0,0 
32.0,4.0,3,3,1,0,3,3,0,0 
43.0,6.0,3,3,1,0,3,2,0,0 
32.0,5.0,3,2,1,1,3,3,0,0 
