Class_size,English_speaker,Course_instructor,Course,Summer_regular_semester,clusterid 
19.0,1,23,3,1,0 
19.0,1,23,3,1,0 
25.0,1,23,3,1,0 
20.0,1,23,3,1,0 
20.0,1,23,3,1,0 
17.0,2,15,3,1,1 
20.0,2,15,3,1,1 
17.0,2,15,3,1,1 
20.0,2,15,3,1,1 
49.0,1,23,3,2,2 
49.0,1,23,3,2,2 
38.0,1,23,3,2,2 
38.0,1,23,3,2,2 
20.0,2,23,3,1,3 
20.0,2,23,3,1,3 
20.0,2,23,3,1,3 
20.0,2,23,3,1,3 
27.0,2,10,3,2,4 
27.0,2,10,3,2,4 
19.0,2,10,3,2,4 
19.0,2,10,3,2,4 
12.0,2,10,3,2,4 
30.0,2,13,1,2,5 
31.0,2,13,1,2,5 
30.0,2,13,1,2,5 
31.0,2,13,1,2,5 
20.0,2,13,1,2,5 
29.0,2,13,1,2,5 
39.0,2,6,17,2,6 
42.0,2,6,17,2,6 
43.0,2,6,17,2,6 
39.0,2,6,17,2,6 
42.0,2,6,17,2,6 
43.0,2,6,17,2,6 
37.0,2,6,17,2,6 
10.0,2,7,11,2,7 
13.0,2,7,11,2,7 
10.0,2,7,11,2,7 
13.0,2,7,11,2,7 
27.0,2,25,7,2,8 
23.0,2,25,7,2,8 
27.0,2,25,7,2,8 
23.0,2,25,7,2,8 
38.0,2,14,15,2,9 
38.0,2,14,15,2,9 
38.0,2,14,15,2,9 
38.0,2,14,15,2,9 
36.0,2,14,15,2,9 
37.0,2,5,2,2,10 
48.0,2,5,2,2,10 
37.0,2,5,2,2,10 
48.0,2,5,2,2,10 
10.0,2,23,3,2,11 
12.0,2,23,3,2,11 
11.0,2,23,3,2,11 
24.0,2,23,3,2,11 
33.0,1,5,2,2,12 
55.0,2,7,11,2,12 
19.0,2,9,5,2,12 
58.0,1,22,3,1,12 
9.0,2,10,22,2,12 
29.0,2,18,21,2,12 
46.0,2,22,3,2,12 
10.0,2,13,3,1,12 
42.0,2,7,25,2,12 
31.0,2,2,9,2,12 
22.0,2,1,15,1,12 
37.0,2,15,13,2,12 
24.0,2,8,3,2,12 
42.0,2,21,2,2,12 
28.0,2,22,3,2,12 
51.0,2,11,1,2,12 
19.0,2,18,5,2,12 
13.0,1,13,3,1,12 
36.0,2,16,8,2,12 
21.0,2,4,16,2,12 
33.0,1,5,2,2,12 
55.0,2,7,11,2,12 
19.0,2,9,5,2,12 
58.0,1,22,3,2,12 
9.0,2,10,22,2,12 
29.0,2,18,21,2,12 
46.0,2,22,3,2,12 
10.0,2,13,3,1,12 
42.0,2,7,25,2,12 
31.0,2,2,9,2,12 
22.0,2,1,15,1,12 
37.0,2,15,13,2,12 
24.0,2,8,3,2,12 
42.0,2,21,2,2,12 
28.0,2,22,3,2,12 
51.0,2,11,1,2,12 
19.0,2,18,5,2,12 
13.0,1,13,3,1,12 
36.0,2,16,8,2,12 
21.0,2,4,16,2,12 
17.0,1,13,3,1,12 
11.0,2,16,19,2,12 
39.0,2,9,2,2,12 
11.0,2,13,3,1,12 
19.0,2,18,21,2,12 
45.0,1,22,3,2,12 
20.0,2,7,11,1,12 
17.0,2,14,22,2,12 
19.0,1,17,17,2,12 
24.0,2,9,5,2,12 
25.0,2,18,25,2,12 
31.0,1,17,17,2,12 
31.0,2,1,15,2,12 
18.0,2,1,8,2,12 
22.0,1,11,16,2,12 
27.0,1,22,13,2,12 
14.0,2,9,2,2,12 
35.0,1,6,17,2,12 
15.0,1,22,3,2,12 
25.0,2,20,2,2,12 
14.0,2,20,2,2,12 
30.0,2,7,11,2,12 
32.0,1,14,15,2,12 
27.0,2,8,3,2,12 
34.0,2,12,7,2,12 
23.0,2,8,7,2,12 
66.0,2,15,1,2,12 
29.0,2,2,9,2,12 
19.0,2,15,1,2,12 
3.0,2,20,2,2,12 
17.0,2,13,14,2,12 
7.0,2,9,6,2,12 
21.0,1,10,3,2,12 
54.0,1,13,1,2,12 
29.0,1,8,3,2,12 
45.0,2,20,2,2,12 
11.0,2,22,1,2,12 
16.0,2,18,12,2,12 
18.0,2,20,15,2,12 
44.0,1,17,18,2,12 
17.0,2,14,23,2,12 
21.0,2,24,26,2,12 
20.0,2,9,24,2,12 
24.0,2,12,8,2,12 
5.0,2,9,6,2,12 
42.0,2,22,1,2,12 
30.0,2,7,11,2,12 
29.0,2,17,18,2,12 
15.0,2,16,20,2,12 
37.0,2,3,2,2,12 
10.0,2,19,4,2,12 
26.0,2,3,2,2,12 
48.0,1,18,7,2,12 
51.0,2,22,1,2,12 
27.0,2,2,10,2,12 
